second,mean_x,std_x,min_x,max_x,mean_y,std_y,mix_y,max_y,mean_z,std_z,min_z,max_z,Activity
63,-7.404547502,6.704301312,-21.07137,3.016694,-4.234720313,4.232147892,-14.537593,4.256891,4.070621733,4.827181107,-5.887342,13.163321,3
64,-7.502450924,7.097747962,-29.029696,3.775656,-5.664143791,3.891215563,-15.423448,2.2744915,2.812502961,4.596686234,-9.3661175,12.50731,3
65,-6.673030978,6.909195281,-21.224598,8.360553,-3.717364587,7.746020222,-20.044256,16.191986,3.188734635,6.023395583,-10.596737,13.936648,3
66,-5.925502659,2.761041599,-12.2080345,-0.7278373,-1.774738637,4.050411859,-9.43076,4.9536033,7.472840943,3.194877565,2.3199813,16.627731,3
67,-6.365107348,3.036032292,-11.84651,-0.62488663,-0.604413757,4.451690426,-9.710882,8.226477,6.940790765,3.42552106,1.8842367,17.736246,3
68,-6.612149936,5.376272218,-23.09447,1.7764976,-2.086131462,3.601993512,-10.532093,6.117185,6.258247814,4.162068455,-4.0342298,14.798561,3
69,-7.588348994,6.335322679,-21.109676,5.121197,-3.722739342,6.981531764,-19.25417,9.476251,1.089361783,7.023874899,-14.901511,11.540052,3
70,-7.837297108,6.61987963,-18.63886,7.017405,-2.898352205,8.442218189,-24.004267,13.385982,0.275235477,7.912906061,-16.189592,15.140931,3
71,-8.731702445,6.276251295,-19.81202,4.5681367,-4.707684582,7.809121052,-21.006725,11.075577,0.587556628,6.580319059,-12.435484,12.641385,3
72,-6.45706428,3.563460068,-14.195222,4.2185836,-1.594782649,3.27546935,-9.540894,3.9001546,5.83769889,3.98858213,-2.183512,13.651738,3
73,-7.197214582,4.078094284,-20.590134,1.3383588,-0.84222152,3.930331801,-9.481039,6.4787097,5.430586884,4.333712055,-7.668628,14.420277,3
74,-7.255101463,5.087324375,-19.40261,0.24420857,-5.686612098,4.426682747,-14.362816,2.1811178,3.36026206,4.839655088,-8.631097,11.513716,3
75,-8.264295672,3.813172443,-15.969325,0.107739076,-2.390048484,4.344229164,-12.876017,6.9144545,3.246781802,4.674675748,-7.9272017,11.836933,3
76,-7.611655807,4.787471365,-20.6452,1.4748282,-3.492944809,7.246015444,-18.377892,7.323863,2.165042373,7.003901332,-14.769831,16.359581,3
77,-8.368125798,6.48319094,-20.175938,5.6551046,-4.483802259,5.350393211,-18.916588,4.975151,0.553891216,6.142681747,-14.511256,14.55914,3
78,-7.490968482,4.470477001,-19.012356,1.6352397,-4.723906475,6.812565161,-18.770542,4.9919105,0.073291916,7.764726006,-15.557523,13.749901,3
79,-5.201525302,4.729010141,-14.161703,1.7238252,-7.285604653,8.094331479,-20.982784,6.2009826,-0.859029789,5.995773291,-12.042834,9.471462,3
