raw,type,extend,xvalue,yvalue,zvalue,time,seconds
8.77E+11,1,3,2.918532,-10.077195,2.707842,3980338227,3.980338227
8.77E+11,1,3,2.8658595,-10.01734,2.267309,3993216561,3.993216561
8.77E+11,1,3,2.789245,-9.720459,2.1571758,3999111873,3.999111873
8.77E+11,1,3,2.585738,-9.734824,1.8219875,4013111925,4.013111925
8.77E+11,1,3,2.5306711,-10.151415,1.9919758,4020134165,4.020134165
8.77E+11,1,3,2.7461493,-10.46745,2.4181437,4033082446,4.033082446
8.77E+11,1,3,2.870648,-10.486604,2.3127987,4040050831,4.040050831
8.77E+11,1,3,2.6431987,-10.1226845,1.9249382,4052930623,4.052930623
8.77E+11,1,3,2.2409728,-9.849746,1.5586253,4059689425,4.059689425
8.77E+11,1,3,2.1380222,-9.428367,1.6591818,4072824581,4.072824581
8.77E+11,1,3,2.0949266,-8.6095495,1.9895816,4079827967,4.079827967
8.77E+11,1,3,1.8938135,-7.9846625,2.1667526,4092762185,4.092762185
8.77E+11,1,3,1.520318,-7.809886,1.6903064,4098610102,4.098610102
8.77E+11,1,3,1.1420342,-7.740454,1.3790601,4112614581,4.112614581
8.77E+11,1,3,0.94570965,-7.8865004,1.5586253,4119612290,4.11961229
8.77E+11,1,3,0.93852705,-8.324639,1.9871874,4132391508,4.132391508
8.77E+11,1,3,0.9744401,-8.604761,2.2697031,4139695415,4.139695415
8.77E+11,1,3,0.92895025,-9.136273,3.1890767,4152446665,4.152446665
8.77E+11,1,3,0.89782566,-9.169792,3.2872388,4159434633,4.159434633
8.77E+11,1,3,0.91937345,-8.688558,2.9951463,4172390310,4.17239031
8.77E+11,1,3,0.9600749,-8.204929,2.954445,4179337550,4.17933755
8.77E+11,1,3,0.6607997,-6.859388,2.6839,4192213696,4.192213696
8.77E+11,1,3,0.45250413,-6.5936313,2.7461493,4198080154,4.198080154
8.77E+11,1,3,-0.19153613,-6.4260373,3.2680852,4212174321,4.212174321
8.77E+11,1,3,-0.4237737,-6.6367273,3.3087866,4219090675,4.219090675
8.77E+11,1,3,-0.7541735,-7.819463,3.311181,4232009738,4.232009738
8.77E+11,1,3,-0.5770026,-8.09719,3.4524388,4238989633,4.238989633
8.77E+11,1,3,0.01436521,-8.403648,4.3167458,4252000935,4.252000935
8.77E+11,1,3,0.016759412,-8.6095495,4.5034933,4258894373,4.258894373
8.77E+11,1,3,-0.2777274,-8.3629465,4.6926355,4271836456,4.271836456
8.77E+11,1,3,-0.40701428,-7.9966335,4.6950297,4278790675,4.278790675
8.77E+11,1,3,-0.79487497,-6.801927,4.297592,4292186248,4.292186248
8.77E+11,1,3,-0.8690952,-6.397307,4.1419687,4297578748,4.297578748
8.77E+11,1,3,-0.8523358,-5.5641246,3.8881836,4311602862,4.311602862
8.77E+11,1,3,-0.80684596,-5.619191,3.9312792,4318582237,4.318582237
8.77E+11,1,3,-0.36631286,-6.3326635,4.534618,4331578331,4.331578331
8.77E+11,1,3,-0.33039984,-6.7253127,4.7524905,4338494946,4.338494946
8.77E+11,1,3,-0.31603462,-7.9726915,5.463568,4351435987,4.351435987
8.77E+11,1,3,-0.33997664,-8.192958,5.5737014,4358384373,4.358384373
8.77E+11,1,3,-0.8499416,-8.221688,5.2744265,4371387915,4.371387915
8.77E+11,1,3,-0.9504981,-8.322245,5.207389,4378300362,4.378300362
8.77E+11,1,3,-0.79726917,-8.195353,4.9081135,4391209217,4.391209217
8.77E+11,1,3,-0.8690952,-8.037335,4.608838,4397788852,4.397788852
8.77E+11,1,3,-0.89543146,-7.8505874,4.378995,4411186769,4.411186769
8.77E+11,1,3,-1.0151415,-7.515399,4.223372,4418092237,4.418092237
8.77E+11,1,3,-1.1851299,-7.321469,4.546589,4431012810,4.43101281
8.77E+11,1,3,-1.103727,-7.5465236,4.8722005,4437992394,4.437992394
8.77E+11,1,3,-0.9672575,-7.410054,4.656722,4450931821,4.450931821
8.77E+11,1,3,-0.94570965,-7.5106106,4.309563,4457894737,4.457894737
8.77E+11,1,3,-0.7685388,-7.9846625,4.4939165,4470895727,4.470895727
8.77E+11,1,3,-0.58657944,-8.693346,4.960786,4477802758,4.477802758
8.77E+11,1,3,-1.0534488,-9.576807,5.245696,4490703800,4.4907038
8.77E+11,1,3,-1.4460979,-9.382876,5.0996494,4496584477,4.496584477
8.77E+11,1,3,-1.3670892,-8.281544,4.7548847,4510650571,4.510650571
8.77E+11,1,3,-1.1707647,-7.457938,4.4723687,4517630362,4.517630362
8.77E+11,1,3,-0.91697925,-6.9360023,4.5513773,4530527550,4.53052755
8.77E+11,1,3,-0.82599956,-6.5577183,4.831499,4537503435,4.537503435
8.77E+11,1,3,-0.90500826,-6.4978633,4.9344497,4550487237,4.550487237
8.77E+11,1,3,-1.0845734,-6.933608,4.999093,4557414321,4.557414321
8.77E+11,1,3,-1.0342951,-7.66384,5.463568,4570315102,4.570315102
8.77E+11,1,3,-0.80684596,-8.485051,5.681441,4577308279,4.577308279
8.77E+11,1,3,-0.5482722,-9.301474,5.9639564,4590204529,4.590204529
8.77E+11,1,3,-0.4165911,-9.660604,6.3685765,4596089894,4.596089894
8.77E+11,1,3,-0.6392518,-9.433155,6.4308257,4609781039,4.609781039
8.77E+11,1,3,-1.1659763,-8.868123,6.5098343,4617103279,4.617103279
8.77E+11,1,3,-1.4508862,-8.267179,6.397307,4629636352,4.629636352
8.77E+11,1,3,-1.364695,-7.728483,6.191406,4637006352,4.637006352
8.78E+11,1,3,-1.055843,-7.5561004,6.093243,4649538592,4.649538592
8.78E+11,1,3,-0.6703765,-7.398083,6.145916,4657081404,4.657081404
8.78E+11,1,3,-0.5674258,-7.1251445,6.184223,4669438539,4.669438539
8.78E+11,1,3,-0.7182605,-7.240066,6.2129536,4676799425,4.676799425
